Currency,Rate
AED,4.005032
AFN,91.939166
ALL,105.681503
AMD,421.05351
ANG,1.964875
AOA,903.389519
ARS,381.613664
AUD,1.694086
AWG,1.962698
AZN,1.862143
BAM,1.959111
BBD,2.20122
BDT,119.321646
BGN,1.958183
BHD,0.411029
BIF,3090.507795
BMD,1.090388
BND,1.481317
BOB,7.533939
BRL,5.43116
BSD,1.090172
BTC,3.8293974e-05
BTN,90.627248
BWP,14.833476
BYN,2.75175
BYR,21371.598672
BZD,2.197574
CAD,1.472727
CDF,2717.245646
CHF,0.956499
CLF,0.034267
CLP,945.169613
CNY,7.90455
COP,4499.135868
CRC,582.70076
CUC,1.090388
CUP,28.895274
CVE,110.451656
CZK,24.083064
DJF,194.11338
DKK,7.451862
DOP,61.866252
DZD,148.230613
EGP,33.692544
ERN,16.355815
ETB,59.904082
EUR,1.0
FJD,2.470923
FKP,0.855366
GBP,0.85379
GEL,2.851333
GGP,0.855366
GHS,12.330176
GIP,0.855366
GMD,66.022489
GNF,9366.829359
GTQ,8.558699
GYD,228.091736
HKD,8.535386
HNL,26.825333
HRK,7.504921
HTG,147.725744
HUF,384.966845
IDR,16721.095185
ILS,4.112065
IMP,0.855366
INR,90.531455
IQD,1427.812915
IRR,46068.879653
ISK,143.898395
JEP,0.855366
JMD,168.63963
JOD,0.772025
JPY,158.926187
KES,157.288592
KGS,96.248672
KHR,4508.743546
KMF,492.296761
KPW,981.306353
KRW,1457.455714
KWD,0.335686
KYD,0.90856
KZT,503.955519
LAK,21281.550018
LBP,16364.204719
LKR,352.148338
LRD,203.029114
LSL,20.782217
LTL,3.219631
LVL,0.659565
LYD,5.247869
MAD,10.804957
MDL,19.297142
MGA,4935.476439
MKD,61.714293
MMK,2289.431987
MNT,3787.183671
MOP,8.791399
MRO,389.268217
MUR,50.043469
MVR,16.780755
MWK,1183.131971
MXN,18.645466
MYR,5.073034
MZN,68.96713
NAD,20.782886
NGN,856.771832
NIO,39.888507
NOK,11.494965
NPR,145.004037
NZD,1.831279
OMR,0.419762
PAB,1.090172
PEN,4.061876
PGK,3.975828
PHP,61.757371
PKR,323.250968
PLN,4.473701
PYG,7923.608409
QAR,3.969829
RON,4.939023
RSD,117.274469
RUB,102.114266
RWF,1289.013818
SAR,4.089485
SBD,9.140657
SCR,14.617159
SDG,655.283669
SEK,11.855333
SGD,1.479797
SHP,1.326729
SLE,24.301254
SLL,21535.156888
SOS,619.887744
SSP,655.323258
SRD,41.655028
STD,22568.823644
SYP,14283.820205
SZL,20.791709
THB,38.571921
TJS,11.976068
TMT,3.827261
TND,3.371429
TOP,2.604118
TRY,29.549861
TTD,7.392697
TWD,34.796997
TZS,2720.517414
UAH,40.263551
UGX,4069.87784
USD,1.090388
UYU,41.450048
UZS,13154.22983
VEF,3431434.869179
VES,34.314981
VND,26022.102158
VUV,132.241654
WST,3.028017
XAF,657.085512
XAG,0.047745
XAU,0.000574
XCD,2.946827
XDR,0.817381
XOF,657.067403
XPF,119.604974
YER,272.925366
ZAR,20.756675
ZMK,9814.800255
ZMW,21.177371
ZWL,351.10439
